Country,Economic Freedom,GDP,GDP PPP
Singapore,89.4,65233.282439230235,101375.77531061199
New Zealand,84.1,42084.35337480878,43952.54842839004
Australia,82.6,54907.101910142366,53320.269042784836
Switzerland,82.0,81993.72714942017,70989.25812615764
Ireland,80.9,78660.95646296027,88240.90102885543
United Kingdom,79.3,42300.26712582503,48709.701144586026
Denmark,78.3,59822.092960896836,59830.15424051389
Canada,78.2,46194.725225516726,51341.705166787724
Estonia,77.7,23659.87229003386,38811.14334077165
Georgia,77.1,4769.186543263509,15636.553760474306
Iceland,77.1,66944.82550803489,60061.37059019095
Netherlands,77.0,52447.83143919107,59686.83163018473
Chile,76.8,14896.453866578868,25154.992822918506
Lithuania,76.7,19455.45412663407,38214.20692989824
United States,76.6,65118.35833281631,65118.35833281602
United Arab Emirates,76.2,43103.323058316506,69900.87784769331
Luxembourg,75.8,114704.59417086266,121292.73927221967
Finland,75.7,48685.8539866945,51323.83337644421
Mauritius,74.9,11203.54058486074,23942.132411587314
Sweden,74.9,51610.066055220166,55814.512653527214
Czech Republic,74.8,23101.77770498536,42575.61147783907
Malaysia,74.7,11414.837661866755,29525.5773629342
Israel,74.0,43641.39773581076,42193.82558987771
Germany,73.5,46258.878289705164,56052.422069885586
Norway,73.4,75419.63486880889,66831.86883103964
Austria,73.3,50277.275087421316,59110.56255908133
Japan,73.3,40246.880128416415,43235.7175691122
Qatar,72.3,64781.733197416856,96490.98387355408
Latvia,71.9,17836.36488659576,32204.45783652913
Rwanda,70.9,801.6561869788064,2318.486230322232
Armenia,70.6,4622.733493286709,14219.627708819722
Bulgaria,70.2,9737.601350833474,24561.182613539808
Cyprus,70.1,27858.3709958327,41254.40458771
Romania,69.7,12919.52964419082,32297.303374015697
Kazakhstan,69.6,9731.14520688729,27443.571172151474
Botswana,69.6,7961.338140140478,18502.818222918835
North Macedonia,69.5,6093.147690496761,17814.861178511088
Malta,69.5,29416.23060700842,45651.57500353765
Thailand,69.4,7808.192916299495,19228.29468184439
Azerbaijan,69.3,4793.587019669886,15000.816497354199
Colombia,69.2,6432.387583395509,15643.731446093127
Poland,69.1,15595.227033425868,34217.715713821766
Uruguay,69.1,16190.126957282693,22454.657943345523
Belgium,68.9,46116.69923367995,54545.15088450006
Jamaica,68.5,5582.263777552108,10166.062775125918
Peru,67.9,6977.695783553822,13380.364424099644
Slovenia,67.8,25739.247814324586,40656.55736504524
Kosovo,67.4,4417.509939754279,11838.88099536646
Indonesia,67.2,4135.5692628155375,12301.75289990179
Panama,67.2,15731.01603484708,32762.49474711453
Portugal,67.0,23145.040817282777,36470.706768910415
Albania,66.9,5352.8574110367135,14495.078514073733
Spain,66.9,29613.6711379783,42214.130393474334
Brunei Darussalam,66.6,31086.75107929395,64673.29857055049
Hungary,66.4,16475.74183894025,33978.95509454941
Bahrain,66.3,23503.977126673,46891.859838714765
France,66.0,40493.92857204556,49435.17993960896
Serbia,66.0,7402.354558620409,18989.03966428786
Jordan,66.0,4330.329345932572,10316.609094632064
Mexico,66.0,9863.0726988757,20410.706569391434
Costa Rica,65.8,12238.37496439838,20434.40842631867
Philippines,64.5,3485.0842183662126,9277.374369233
Turkey,64.4,9042.492982888818,27875.19325148472
Seychelles,64.3,17401.72151356121,30259.96102954427
Guatemala,64.0,4619.987097084932,8995.5378734599
Italy,63.8,33189.56579885416,44196.69310322129
Oman,63.6,15474.032475363458,29052.497396958184
Cabo Verde,63.6,3603.781793677701,7469.075578836172
Fiji,63.4,6220.0464208924695,14427.582417995289
Morocco,63.3,3204.0950031329803,7826.167677276809
Kuwait,63.2,32031.980102598773,51912.01212917538
Paraguay,63.0,5414.799137932579,13210.307911596528
Kyrgyz Republic,62.9,1309.3929916551213,5470.811536063155
Bosnia and Herzegovina,62.6,6073.265202832075,15791.674739443133
Saudi Arabia,62.4,23139.798656121402,48908.482377333865
Croatia,62.2,14853.239837463454,29973.426092504855
Bhutan,62.1,3243.231125934968,11613.162474686438
Samoa,62.1,4315.920674695648,6787.131425818167
Moldova,62.0,4498.52085021233,13574.05142807559
Belarus,61.7,6663.2952928258255,19943.292523313656
Tanzania,61.7,1122.12181047515,2770.68117187672
El Salvador,61.6,4187.250031106896,9139.706334201786
Montenegro,61.5,8832.036835986293,22988.680199660597
Barbados,61.4,18148.24492640014,16286.979515127117
Honduras,61.1,2574.9121906744267,5965.3688189555
Dominican Republic,60.9,8282.1162218645,19182.409150703126
Namibia,60.9,4957.458005849698,10036.592457888964
